Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
1.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
1.5,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
2.0,"['0.3841', 'NS']","['0.3841', 'NS']","['0.4113', 'NS']"
2.5,"['0.6585', 'NS']","['0.2902', 'NS']","['0.0277', '*']"
3.0,"['0.4788', 'NS']","['0.3091', 'NS']","['0.3054', 'NS']"
3.5,"['0.3099', 'NS']","['0.0905', 'NS']","['0.0805', 'NS']"
4.0,"['0.3722', 'NS']","['0.0905', 'NS']","['0.0927', 'NS']"
4.5,"['0.2301', 'NS']","['0.0337', '*']","['0.0134', '*']"
5.0,"['0.1166', 'NS']","['0.0337', '*']","['0.0011', '**']"
5.5,"['0.0605', 'NS']","['0.1661', 'NS']","['0.0033', '**']"
6.0,"['0.3099', 'NS']","['0.1660', 'NS']","['0.0062', '**']"
6.5,"['0.3401', 'NS']","['0.1316', 'NS']","['0.0062', '**']"
7.0,"['0.4417', 'NS']","['0.2549', 'NS']","['0.0076', '**']"
7.5,"['0.7350', 'NS']","['0.3401', 'NS']","['0.0076', '**']"
8.0,"['0.6009', 'NS']","['0.0337', '*']","['0.0033', '**']"
8.5,"['1.0000', 'NS']","['0.0312', '*']","['0.0005', '***']"
9.0,"['0.3401', 'NS']","['0.0089', '**']","['0.0003', '***']"
9.5,"['0.2549', 'NS']","['0.0081', '**']","['0.0004', '***']"
10.0,"['0.2301', 'NS']","['0.0003', '***']","['0.0001', '***']"
