Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.8649', 'NS']","['0.1799', 'NS']","['0.0130', '*']"
1.0,"['0.4790', 'NS']","['0.0097', '**']","['0.0067', '**']"
1.5,"['0.2549', 'NS']","['0.1481', 'NS']","['0.0698', 'NS']"
2.0,"['0.2815', 'NS']","['0.0694', 'NS']","['0.0272', '*']"
2.5,"['0.0905', 'NS']","['0.1316', 'NS']","['0.0111', '*']"
3.0,"['0.1029', 'NS']","['0.0525', 'NS']","['0.0041', '**']"
3.5,"['0.1166', 'NS']","['0.2071', 'NS']","['0.0076', '**']"
4.0,"['0.1481', 'NS']","['0.2301', 'NS']","['0.0134', '*']"
4.5,"['0.0525', 'NS']","['0.0794', 'NS']","['0.0022', '**']"
5.0,"['0.0742', 'NS']","['0.2549', 'NS']","['0.0134', '*']"
5.5,"['0.1856', 'NS']","['0.1481', 'NS']","['0.0161', '*']"
6.0,"['0.7350', 'NS']","['0.6223', 'NS']","['0.0111', '*']"
6.5,"['0.5583', 'NS']","['0.7580', 'NS']","['0.0062', '**']"
7.0,"['0.3082', 'NS']","['0.8774', 'NS']","['0.0051', '**']"
7.5,"['0.6877', 'NS']","['0.1297', 'NS']","['0.0017', '**']"
8.0,"['0.7808', 'NS']","['0.0639', 'NS']","['0.0055', '**']"
8.5,"['0.5998', 'NS']","['0.0012', '**']","['0.0014', '**']"
9.0,"['0.7561', 'NS']","['0.0023', '**']","['0.0027', '**']"
9.5,"['0.7561', 'NS']","['0.0042', '**']","['0.0014', '**']"
10.0,"['0.5976', 'NS']","['0.0019', '**']","['0.0014', '**']"
