Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.8649', 'NS']","['0.1799', 'NS']","['0.0130', '*']"
1.0,"['0.4790', 'NS']","['0.0097', '**']","['0.0067', '**']"
1.5,"['0.2549', 'NS']","['0.1481', 'NS']","['0.0698', 'NS']"
2.0,"['0.2815', 'NS']","['0.0694', 'NS']","['0.0321', '*']"
2.5,"['0.0694', 'NS']","['0.1661', 'NS']","['0.0134', '*']"
3.0,"['0.0455', '*']","['0.1316', 'NS']","['0.0111', '*']"
3.5,"['0.1661', 'NS']","['0.6665', 'NS']","['0.0806', 'NS']"
4.0,"['0.4417', 'NS']","['1.0000', 'NS']","['0.3068', 'NS']"
4.5,"['0.9755', 'NS']","['0.4791', 'NS']","['0.7169', 'NS']"
5.0,"['0.3722', 'NS']","['0.2071', 'NS']","['0.0272', '*']"
5.5,"['0.0794', 'NS']","['0.6891', 'NS']","['0.0443', '*']"
6.0,"['0.1661', 'NS']","['0.2815', 'NS']","['0.2225', 'NS']"
6.5,"['0.3401', 'NS']","['0.1481', 'NS']","['0.2225', 'NS']"
7.0,"['0.3099', 'NS']","['0.1481', 'NS']","['0.4887', 'NS']"
7.5,"['0.7818', 'NS']","['0.6444', 'NS']","['0.1765', 'NS']"
8.0,"['0.6009', 'NS']","['0.1481', 'NS']","['0.1379', 'NS']"
8.5,"['1.0000', 'NS']","['0.6444', 'NS']","['0.0698', 'NS']"
9.0,"['0.2071', 'NS']","['0.1316', 'NS']","['0.0022', '**']"
9.5,"['0.3097', 'NS']","['0.2549', 'NS']","['0.0806', 'NS']"
10.0,"['0.1479', 'NS']","['0.0287', '*']","['0.0062', '**']"
