Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.1661', 'NS']","['0.2815', 'NS']","['0.1985', 'NS']"
1.0,"['0.2549', 'NS']","['0.8777', 'NS']","['0.0602', 'NS']"
1.5,"['0.5588', 'NS']","['0.5588', 'NS']","['0.0927', 'NS']"
2.0,"['0.3722', 'NS']","['0.1858', 'NS']","['0.0443', '*']"
2.5,"['0.3099', 'NS']","['0.3099', 'NS']","['0.0443', '*']"
3.0,"['0.2549', 'NS']","['0.3099', 'NS']","['0.0378', '*']"
3.5,"['0.2815', 'NS']","['0.2301', 'NS']","['0.0272', '*']"
4.0,"['0.3722', 'NS']","['0.2301', 'NS']","['0.0229', '*']"
4.5,"['0.2301', 'NS']","['0.1166', 'NS']","['0.0076', '**']"
5.0,"['0.1481', 'NS']","['0.0905', 'NS']","['0.0051', '**']"
5.5,"['0.1166', 'NS']","['0.3401', 'NS']","['0.0041', '**']"
6.0,"['0.4060', 'NS']","['0.4791', 'NS']","['0.0033', '**']"
6.5,"['0.2549', 'NS']","['0.6009', 'NS']","['0.0062', '**']"
7.0,"['0.6444', 'NS']","['0.5181', 'NS']","['0.0092', '**']"
7.5,"['0.8777', 'NS']","['0.2071', 'NS']","['0.0076', '**']"
8.0,"['0.9264', 'NS']","['0.0392', '*']","['0.0041', '**']"
8.5,"['1.0000', 'NS']","['0.0089', '**']","['0.0007', '***']"
9.0,"['0.6444', 'NS']","['0.0010', '***']","['0.0002', '***']"
9.5,"['0.4417', 'NS']","['0.0012', '**']","['0.0003', '***']"
10.0,"['0.3401', 'NS']","['0.0001', '***']","['0.0001', '***']"
