Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['0.1661', 'NS']","['0.2815', 'NS']","['0.1985', 'NS']"
0.5,"['0.2549', 'NS']","['0.8777', 'NS']","['0.0602', 'NS']"
1.0,"['0.6891', 'NS']","['0.7350', 'NS']","['0.1563', 'NS']"
1.5,"['0.4060', 'NS']","['0.0905', 'NS']","['0.0272', '*']"
2.0,"['0.1316', 'NS']","['0.0794', 'NS']","['0.0134', '*']"
2.5,"['0.0905', 'NS']","['0.3722', 'NS']","['0.1379', 'NS']"
3.0,"['0.2071', 'NS']","['0.0905', 'NS']","['0.0161', '*']"
3.5,"['0.7350', 'NS']","['0.2071', 'NS']","['0.0134', '*']"
4.0,"['0.2071', 'NS']","['0.2549', 'NS']","['0.0229', '*']"
4.5,"['0.8294', 'NS']","['0.9264', 'NS']","['0.1765', 'NS']"
5.0,"['0.6891', 'NS']","['0.6444', 'NS']","['0.5310', 'NS']"
5.5,"['0.7818', 'NS']","['0.5588', 'NS']","['0.1062', 'NS']"
6.0,"['0.8294', 'NS']","['0.1858', 'NS']","['0.5310', 'NS']"
6.5,"['0.1166', 'NS']","['0.2815', 'NS']","['0.8175', 'NS']"
7.0,"['0.1166', 'NS']","['0.0694', 'NS']","['0.9212', 'NS']"
7.5,"['0.9264', 'NS']","['0.0106', '*']","['0.6209', 'NS']"
8.0,"['0.5181', 'NS']","['0.0289', '*']","['0.3068', 'NS']"
8.5,"['0.6009', 'NS']","['0.1481', 'NS']","['0.0111', '*']"
9.0,"['0.1858', 'NS']","['0.5181', 'NS']","['0.0022', '**']"
9.5,"['0.9264', 'NS']","['0.4417', 'NS']","['0.0698', 'NS']"
10.0,"['0.9264', 'NS']","['0.4417', 'NS']","['0.9212', 'NS']"
