Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['0.0209', '0.0877', 'NS']"
3.0,"['0.6952', '0.9125', 'NS']"
3.5,"['0.4179', '0.6269', 'NS']"
4.0,"['0.5974', '0.8364', 'NS']"
4.5,"['0.3072', '0.4963', 'NS']"
5.0,"['0.2178', '0.3812', 'NS']"
5.5,"['0.1589', '0.3033', 'NS']"
6.0,"['0.0845', '0.1971', 'NS']"
6.5,"['0.0528', '0.1584', 'NS']"
7.0,"['0.1212', '0.2546', 'NS']"
7.5,"['0.0845', '0.1971', 'NS']"
8.0,"['0.0378', '0.1322', 'NS']"
8.5,"['0.0151', '0.0794', 'NS']"
9.0,"['0.0151', '0.0794', 'NS']"
9.5,"['0.0022', '0.0365', '*']"
10.0,"['0.0035', '0.0365', '*']"
