Time,CLK_Out_w3
0.0,"['0.8053', '0.9395', 'NS']"
0.5,"['0.9719', '0.9719', 'NS']"
1.0,"['0.5035', '0.6220', 'NS']"
1.5,"['0.3072', '0.5865', 'NS']"
2.0,"['0.3418', '0.5981', 'NS']"
2.5,"['0.9719', '0.9719', 'NS']"
3.0,"['0.5035', '0.6220', 'NS']"
3.5,"['0.5035', '0.6220', 'NS']"
4.0,"['0.2178', '0.5865', 'NS']"
4.5,"['0.2751', '0.5865', 'NS']"
5.0,"['0.3787', '0.6118', 'NS']"
5.5,"['0.1697', '0.5865', 'NS']"
6.0,"['0.2453', '0.5865', 'NS']"
6.5,"['0.3072', '0.5865', 'NS']"
7.0,"['0.1697', '0.5865', 'NS']"
7.5,"['0.5035', '0.6220', 'NS']"
8.0,"['0.2453', '0.5865', 'NS']"
8.5,"['0.2178', '0.5865', 'NS']"
9.0,"['0.0183', '0.3848', 'NS']"
9.5,"['0.0980', '0.5865', 'NS']"
10.0,"['0.8603', '0.9508', 'NS']"
